IDMarcaVehiculo,MarcaVehiculo
1,AUDI
2,BLITS
3,BMW
4,CHAVET
5,CHEVROLET
6,CHRYSLER
7,CITROEN
8,DAEWOO
9,DAHIATSU
10,DATSUN
11,DODGE
12,EUROMET
13,FIAT
14,FORD
15,HONDA
16,HYUNDAY
17,ISUZU
18,JEEP
19,KAWASAKI
20,KIA
21,KINLON
22,LADA
23,LAND ROVER
24,LIFAN
25,MAZDA
26,MERCEDEZ BENZ
27,MINI
28,MITSUBISHI
29,NISSAN
30,OPEL
31,PEUGEOT
32,RENAULT
33,SAMSUNG
34,SANG YONG
35,SEAT
36,SIN INF
37,SKODA
38,SUBARU
39,SUZUKI
40,TOYOTA
41,VOLKSWAGEN
42,YAHAMA
43,ZK
44,Dax
45,Abat
46,Geo
47,Maico
48,Yarara
49,Aston Martin
50,Bobcat
51,Exel
52,Greenmaster
53,Haima
54,Iveco
55,Kenworth
56,Shifeng
57,Vulcan
58,Changjeng
59,Chery
60,Free Way
61,Hardi
62,Hechizo
63,Ivesa
64,Kinroad
65,Landini
66,Longstar
67,Oayun
68,Prott
69,Skygo
70,SMA
71,Smart
72,Sport Voad
73,Tata
74,Universal
75,Verona
76,Xinfu
