IDZona,Zona,IDMacrozona,IDComuna,IDSegundaComuna
-1,Sin Información,-1,-1,
1,Zona-1,10,4102,
2,Zona-2,10,4102,
3,Zona-3,11,4102,
4,Zona-4,11,4102,
5,Zona-5,10,4102,
6,Zona-6,11,4102,
7,Zona-7,11,4102,
8,Zona-8,11,4102,
9,Zona-9,11,4102,
10,Zona-10,11,4102,
11,Zona-11,12,4102,
12,Zona-12,12,4102,
13,Zona-13,12,4102,
14,Zona-14,12,4102,
15,Zona-15,12,4102,
16,Zona-16,12,4102,
17,Zona-17,9,4102,
18,Zona-18,9,4102,
19,Zona-19,9,4102,
20,Zona-20,7,4102,
21,Zona-21,7,4102,
22,Zona-22,7,4102,
23,Zona-23,7,4102,
24,Zona-24,7,4102,
25,Zona-25,8,4102,
26,Zona-26,6,4102,
27,Zona-27,7,4102,
28,Zona-28,6,4102,
29,Zona-29,6,4102,
30,Zona-30,6,4102,
31,Zona-31,8,4102,
32,Zona-32,6,4102,
33,Zona-33,6,4102,
34,Zona-34,14,4102,
35,Zona-35,14,4102,
36,Zona-36,14,4102,
37,Zona-37,13,4102,
38,Zona-38,13,4102,
39,Zona-39,13,4102,
40,Zona-40,13,4102,
41,Zona-41,13,4102,
42,Zona-42,13,4102,
43,Zona-43,13,4102,
44,Zona-44,13,4102,
45,Zona-45,2,4101,
46,Zona-46,2,4101,
47,Zona-47,1,4101,
48,Zona-48,3,4101,
49,Zona-49,3,4101,
50,Zona-50,3,4101,
51,Zona-51,3,4101,
52,Zona-52,3,4101,
53,Zona-53,3,4101,
54,Zona-54,2,4101,
55,Zona-55,4,4101,
56,Zona-56,2,4101,
57,Zona-57,5,4101,
58,Zona-58,4,4101,
59,Zona-59,5,4101,
60,Zona-60,5,4101,
61,Zona-61,5,4101,
62,Zona-62,4,4101,
63,Zona-63,5,4101,
64,Zona-64,5,4101,
65,Zona-65,5,4101,
66,Zona-66,5,4101,
67,Zona-67,5,4101,
68,Zona-68,5,4101,
69,Zona-69,5,4101,
70,Zona-70,5,4101,
71,Zona-71,5,4101,
72,Zona-72,5,4101,
73,Zona-73,5,4101,
74,Zona-74,2,4101,
75,Zona-75,3,4101,
76,Zona-76,1,4101,
77,Zona-77,1,4101,
78,Zona-78,1,4101,
79,Zona-79,1,4101,
80,Zona-80,1,4101,
81,Zona-81,1,4101,
82,Zona-82,1,4101,
83,Zona-83,1,4101,
84,Zona-84,1,4101,
85,Zona-85,1,4101,
86,Zona-86,1,4101,
87,Zona-87,1,4101,
88,Zona-88,1,4101,
89,Zona-89,5,4101,
90,Zona-90,3,4101,
91,Zona-91,2,4101,
92,Zona-92,6,4102,
93,Zona-93,14,4102,
94,Zona-94,1,4101,
95,Zona-95,15,-1,
96,Zona-96,15,-1,
97,Zona-97,15,-1,
98,Zona-98,15,-1,
99,Zona-99,5,4101,
100,Zona-100,5,4101,
101,Zona-101,3,4101,
102,Zona-102,5,4101,
103,Zona-103,1,4101,
104,Zona-104,6,4102,
105,Zona-105,1,4101,
106,Zona-106,3,4101,
107,Zona-107,6,4102,
